AggressorTime,RequestTime,ExecID,LastQty,AggressorSide,LastPx,RestingHiddenQty,volume_bar_label
0,0,1586156537453686641,100000,49,15610000000,0,0
0,0,1586156537453742071,70000,49,15610000000,0,0
0,0,1586156537453768795,100000,49,15610000000,0,0
0,0,1586156537453804219,350000,49,15610000000,0,0
0,0,1586156537453838362,400000,49,15610000000,0,0
1586156537463083520,1586156537463071744,1586156537463087396,479999,49,15610000000,0,1
1586156537467941888,1586156537467931648,1586156537467947304,400000,50,15602000000,0,1
1586156537467965184,1586156537467952384,1586156537467990661,620000,50,15600000000,0,1
1586156537471388416,1586156537471375360,1586156537471392868,260000,49,15610000000,0,2
1586156537471458560,1586156537471441664,1586156537471461935,10000,49,15610000000,0,2
1586156537477308928,1586156537477299200,1586156537477313064,360000,50,15588000000,0,2
1586156537487363840,1586156537487354368,1586156537487368392,400000,50,15588000000,0,2
1586156537528313344,1586156537528291840,1586156537528316706,770000,50,15600000000,0,3
1586156537546976256,1586156537546967040,1586156537546980407,800000,50,15600000000,0,3
1586156537556258816,1586156537556247552,1586156537556262790,290000,49,15602000000,0,4
1586156537558838784,1586156537558828800,1586156537558842859,300000,49,15602000000,0,4
1586156537568273920,1586156537568264192,1586156537568278080,1460000,49,15604000000,0,4
1586156537568286720,1586156537568277760,1586156537568312674,490000,49,15606000000,0,5
1586156537569593600,1586156537569584128,1586156537569598242,680000,50,15600000000,0,5
1586156537573254144,1586156537573242880,1586156537573258376,899999,50,15596000000,0,6
1586156537573321728,1586156537573312512,1586156537573327476,620000,49,15552000000,0,6
1586156537588992512,1586156537588982016,1586156537588995952,700000,49,15580000000,0,7
1586156537598595840,1586156537598584832,1586156537598599467,1500000,50,15500000000,0,7
1586156537598830336,1586156537598819584,1586156537598834418,650000,49,15604000000,0,8
1586156537599594496,1586156537599585792,1586156537599598687,70000,50,15600000000,0,8
1586156537600524288,1586156537600515584,1586156537600528259,1450000,50,15591999999,0,8
1586156537603487744,1586156537603473408,1586156537603491860,150000,50,15591999999,0,9
1586156537603490304,1586156537603473664,1586156537603523056,119999,50,15591999999,0,9
1586156537619065344,1586156537619056384,1586156537619069153,70000,50,15597999999,0,9
1586156537637120256,1586156537637111040,1586156537637126337,690000,50,15600000000,0,9
1586156537656346880,1586156537656337408,1586156537656353434,700000,50,15600000000,0,10
1586156537673800960,1586156537673788928,1586156537673814760,690000,50,15600000000,0,10
1586156537682544640,1586156537682534912,1586156537682548534,1000000,49,15580000000,0,11
1586156537682554368,1586156537682535680,1586156537682580799,300000,49,15580000000,0,12
1586156537683243776,1586156537683233536,1586156537683247843,620000,49,15610000000,0,12
1586156537697445120,1586156537697436416,1586156537697448899,959999,49,15610000000,0,12
1586156537697451520,1586156537697440768,1586156537697499413,780000,50,15600000000,0,13
1586156537697597952,1586156537697589248,1586156537697615017,400000,50,15602000000,0,13
1586156537980204032,1586156537980187648,1586156537980208590,810000,50,15600000000,0,14
1586156537999057664,1586156537999048192,1586156537999063447,700000,50,15600000000,0,14
1586156538008041984,1586156538008032256,1586156538008045247,700000,49,15600000000,0,15
1586156538034828800,1586156538034819584,1586156538034831695,680000,50,15600000000,0,15
1586156538050019328,1586156538050003456,1586156538050022418,680000,49,15600000000,0,16
1586156538069504512,1586156538069496576,1586156538069508419,690000,50,15600000000,0,16
1586156538088550400,1586156538088541696,1586156538088554038,770000,50,15600000000,0,17
1586156538109236224,1586156538109227264,1586156538109249628,790000,50,15600000000,0,17
1586156538140363264,1586156538140345856,1586156538140368426,330000,50,15600000000,0,18
1586156538140435200,1586156538140426752,1586156538140439564,20000,50,15600000000,0,18
1586156538140439552,1586156538140431616,1586156538140471947,330000,50,15600000000,0,18
1586156538149720320,1586156538149708544,1586156538149723755,959999,49,15610000000,0,18
1586156538171353856,1586156538171344384,1586156538171358593,770000,49,15616000000,0,19
1586156538195506176,1586156538195497216,1586156538195520589,500000,49,15612000000,0,19
1586156538384474880,1586156538384460288,1586156538384479890,690000,50,15600000000,0,20
1586156538405018880,1586156538405009408,1586156538405022619,760000,50,15600000000,0,20
1586156538488998912,1586156538488989440,1586156538489003796,400000,50,15600000000,0,21
1586156538489061120,1586156538489052160,1586156538489065963,370000,50,15600000000,0,21
1586156538510911488,1586156538510899712,1586156538510924749,440000,50,15600000000,0,21
1586156538512218112,1586156538512207616,1586156538512222859,440000,49,15600000000,0,22
1586156538512302080,1586156538512281344,1586156538512330798,929999,50,15600000000,0,22
1586156542932651520,1586156542932634112,1586156542932658186,59999,49,15602000000,0,23
1586156544901024768,1586156544901007616,1586156544901029062,140000,49,15602000000,0,23
1586156545579046656,1586156545579012608,1586156545579053037,2400000,50,15578000000,0,23
1586156548297261824,1586156548297251840,1586156548297265333,820000,49,15590000000,0,24
1586156548297320960,1586156548297312256,1586156548297324174,390000,49,15591999999,0,24
1586156555923996160,1586156555923953152,1586156555924024599,320000,49,15604000000,0,25
1586156555923999744,1586156555923964416,1586156555924072430,1170000,49,15604000000,0,25
1586156555936920320,1586156555936911616,1586156555936959876,2500000,49,15619999999,0,26
1586156556370808832,1586156556370797824,1586156556370841779,700000,50,15616000000,0,27
1586156556370919680,1586156556370899200,1586156556370944796,59999,49,15616000000,0,27
1586156556370940928,1586156556370916352,1586156556371038676,380000,50,15613999999,0,27
1586156556371214848,1586156556371204608,1586156556371219339,380000,49,15613999999,0,28
1586156557026171904,1586156557026156800,1586156557026176193,550000,50,15612000000,0,28
1586156559869400320,1586156559869383936,1586156559869410911,40000,50,15612000000,0,28
1586156559869484800,1586156559869467136,1586156559869519656,700000,50,15610000000,0,28
1586156559876287744,1586156559876278272,1586156559876290552,5000000,50,15608000000,0,29
1586156559876295680,1586156559876284416,1586156559876323996,50000,50,15608000000,0,30
1586156559876357376,1586156559876341248,1586156559876419359,1500000,50,15606000000,0,30
1586156559876374784,1586156559876359168,1586156559876502249,400000,50,15604000000,0,31
1586156559876392448,1586156559876378880,1586156559876561184,50000,49,15606000000,0,31
1586156559876531712,1586156559876518400,1586156559876793189,400000,50,15600000000,0,31
1586156559876612096,1586156559876603136,1586156559876925861,449999,49,15606000000,0,31
1586156559886397952,1586156559886385664,1586156559886400860,1150000,49,15606000000,0,32
1586156561927364608,1586156561927350016,1586156561927369168,70000,49,15596000000,0,33
1586156564633009152,1586156564632995584,1586156564633013393,10000,49,15590000000,0,33
1586156567488184064,1586156567488172544,1586156567488188636,1820000,49,15590000000,0,33
1586156570528077056,1586156570528065280,1586156570528080149,1730000,49,15604000000,0,34
1586156570561445888,1586156570561436672,1586156570561539352,350000,50,15604000000,0,35
1586156570561600256,1586156570561587456,1586156570561665078,500000,50,15606000000,0,35
1586156570561677056,1586156570561661952,1586156570561772245,200000,50,15606000000,0,35
1586156570600881920,1586156570600846080,1586156570600959149,1500000,49,15602000000,0,36
1586156573263648000,1586156573263629824,1586156573263656140,640000,49,15613999999,0,37
1586156577501965056,1586156577501950464,1586156577501968560,700000,49,15613999999,0,37
1586156584222013696,1586156584221979648,1586156584222017319,920000,49,15608000000,0,38
1586156584527515904,1586156584527500544,1586156584527520140,1000000,50,15590000000,0,38
1586156584527576576,1586156584527566848,1586156584527581648,630000,50,15590000000,0,39
1586156586293928448,1586156586293909760,1586156586293933125,29999,49,15580000000,0,39
1586156590259847168,1586156590259831808,1586156590259852472,1000000,50,15560000000,0,39
1586156598820156416,1586156598820145920,1586156598820159765,300000,49,15580000000,0,40
1586156598820189184,1586156598820180224,1586156598820199296,500000,49,15580000000,0,40
1586156598820236800,1586156598820217344,1586156598820290320,730000,49,15580000000,0,40
1586156598829577728,1586156598829568000,1586156598829581389,620000,49,15584000000,0,41
1586156598829776896,1586156598829765120,1586156598829824465,130000,49,15586000000,0,41
1586156598829779456,1586156598829769728,1586156598829859833,590000,49,15586000000,0,41
1586156598829784320,1586156598829774336,1586156598829893747,500000,50,15584000000,0,42
1586156598829823744,1586156598829814784,1586156598829946768,110000,49,15586000000,0,42
1586156600004795136,1586156600004784640,1586156600004799371,20000,50,15580000000,0,42
1586156604138926080,1586156604138914816,1586156604138930897,920000,50,15590000000,0,42
1586156606746186240,1586156606746158080,1586156606746189207,700000,50,15588000000,0,43
1586156606746347520,1586156606746257664,1586156606746491196,100000,49,15588000000,0,43
1586156606746442752,1586156606746420736,1586156606746851047,500000,50,15586000000,0,43
1586156611126648064,1586156611126637056,1586156611126651777,920000,50,15580000000,0,44
1586156613004971008,1586156613004959232,1586156613004975117,190000,49,15602000000,0,44
1586156613005030912,1586156613005022208,1586156613005035868,790000,49,15602000000,0,45
1586156613011721984,1586156613011704832,1586156613011787805,500000,50,15596000000,0,45
1586156613012035072,1586156613012010240,1586156613012073572,700000,49,15600000000,0,46
1586156613012451840,1586156613012441088,1586156613012455943,940000,49,15600000000,0,46
1586156615999325440,1586156615999307264,1586156615999329884,10000,50,15596000000,0,47
1586156618534192384,1586156618534158080,1586156618534270069,50000,49,15600000000,0,47
1586156623349815808,1586156623349796352,1586156623349823394,70000,49,15618000000,0,47
1586156623415576320,1586156623415566080,1586156623415580038,290000,50,15600000000,0,47
1586156625684976384,1586156625684962816,1586156625684981411,300000,49,15619999999,0,47
1586156629239124480,1586156629238365184,1586156629239128996,910000,50,15600000000,0,47
1586156629239266816,1586156629239201280,1586156629239435608,10120000,49,15600000000,0,48
1586156629239268352,1586156629239207424,1586156629239470418,500000,49,15600000000,0,49
1586156629239270144,1586156629239208960,1586156629239505746,9060000,49,15600000000,0,49
1586156629239288064,1586156629239213056,1586156629239582443,5430000,49,15600000000,0,50
1586156629239337216,1586156629239314432,1586156629239709676,40000,50,15597999999,0,51
1586156629239488512,1586156629239478784,1586156629239925377,23980000,49,15600000000,0,51
